steam_id,discord_id,nickname,guilds
76561198141070801,<@222007745035894784>,SuperLambda,944652471786151976
76561198085002134,<@310403625098936320>,Fuuxio,943135984206348328;944652471786151976
76561198163710079,<@334093158503940096>,Keexo,943135984206348328;944652471786151976
76561198272550073,<@309365626177191937>,Shiroe,944652471786151976;943135984206348328
